,Academic Year,First Year,Second Year,Third Year,Fourth Year,Fifth Year,Average Percentage Increase
0,2018-2019,,,,,,
1,2019-2020,9.999990535331138,5.100065842139911,5.099995258641132,5.100214134388303,5.002073993638478,6.060467952827793
2,2020-2021,9.999939770283861,4.999959437131607,4.999945864596533,4.999923235107384,4.9999954801075,5.999952757445377
3,2021-2022,9.999937423637295,4.999922737363693,4.999965628297542,5.000000000000004,4.999948344083505,5.999954826676408
4,2022-2023,14.999989333568475,20.725615239964036,5.100107616198879,5.099969527479331,5.100163331168717,10.205169009675886
5,2023-2024,4.999990724841297,14.999983069155732,20.72555684034714,5.100110597483609,5.099975815448454,10.185123409455246
