,Academic Year,First Year,Second Year,Third Year,Fourth Year,Fifth Year,Average Percentage Increase
0,2018-2019,,,,,,
1,2019-2020,9.999919763140808,5.4651689920918844,5.527667700058503,5.103510341913009,4.9985507628257375,6.218963512005987
2,2020-2021,9.999981764336873,5.000000000000004,4.999990405667565,4.999951787246748,4.999961391750185,5.999977069800275
3,2021-2022,9.999941977425909,4.999977257117383,4.9999269003176305,4.999986224921327,4.9999540377809515,5.999957279512641
4,2022-2023,9.999932181371118,20.7254851166212,5.46524934406043,5.527611820855727,5.103559490895981,9.36436759076089
5,2023-2024,4.999948622219175,9.99991388107837,20.725511730588806,5.46532733285261,1.8305141782385626,8.604243148995504
