,Academic Year,First Year,Second Year,Third Year,Fourth Year,Average Percentage Increase
0,2018-2019,,,,,
1,2019-2020,9.999960656795448,5.101963459934811,5.101993552907658,5.102122349529203,2.0734496046001087
2,2020-2021,9.999973175078214,4.99996253025683,4.873360512783975,4.999920222026799,6.2183041100364544
3,2021-2022,9.999926841104578,4.999982157258764,5.12666455663382,4.9979038712681945,6.2811193565663395
4,2022-2023,9.99994088166134,20.725536960395054,5.102032137954726,5.104023183233686,10.2328832908112
5,2023-2024,4.999936179031916,9.999943696784651,20.725508093568834,5.101992878642103,10.206845212006876
