,Academic Year,First Year,Second Year,Third Year,Fourth Year,Average Percentage Increase
0,2018-2019,,,,,
1,2019-2020,9.999999999999986,5.101955888472731,5.102054984726467,5.255484231285501,6.364873776121171
2,2020-2021,9.999952756500697,4.999967004540196,4.999950458751945,4.999933880800289,6.249951025148282
3,2021-2022,9.999949893236803,4.99999214393565,4.999972477071424,4.999952771970495,6.249966821553593
4,2022-2023,14.99995444837634,20.72549637236851,5.101965923984264,5.10205382048694,11.482367641304016
5,2023-2024,4.999985853527433,15.000003098751646,20.725480164232767,5.101953478286925,11.456855648699692
