academic_year,first_year,second_year,third_year,fourth_year,fifth_year
"2018-2019",20333.88,20314.14,20294.42,20274.70,20274.66
"2019-2020",22367.26,21350.56,21329.84,21309.14,NaN
"2020-2021",24603.98,22418.08,22369.32,22374.58,NaN
"2021-2022",27064.36,23538.98,23516.12,23492.84,NaN
"2022-2023",29770.78,28417.56,24715.92,24691.92,NaN
"2023-2024",31259.30,31259.30,29838.42,25951.70,NaN
