academic_year,first_year,second_year,third_year,fourth_year,fifth_year
"2018-2019",21131.22,21111.10,21091.00,21070.88,21070.46
"2019-2020",23244.34,22187.78,22166.64,22145.54,22124.42
"2020-2021",25568.76,23297.16,23274.96,23252.80,23230.64
"2021-2022",28125.62,24462.00,24438.70,24415.44,24392.16
"2022-2023",32344.46,29531.90,25685.10,25660.62,25636.20
"2023-2024",33961.68,33961.68,31008.48,26969.34,26943.64
