academic_year,first_year,second_year,third_year,fourth_year,fifth_year
"2018-2019",19940.96,19853.00,19753.72,19734.26,19734.52
"2019-2020",21935.04,20938.00,20845.64,20741.40,20720.96
"2020-2021",24128.54,21984.90,21887.92,21778.46,21757.00
"2021-2022",26541.38,23084.14,22982.30,22867.38,22844.84
"2022-2023",29195.50,27868.44,24238.34,24131.40,24010.74
"2023-2024",30655.26,30655.26,29261.86,25450.26,24450.26
