academic_year,first_year,second_year,third_year,fourth_year,fifth_year
"2018-2019",23091.20,23068.80,23046.40,22990.46,NaN
"2019-2020",25400.32,24245.76,24222.24,24198.72,NaN
"2020-2021",27940.34,25458.04,25433.34,25408.64,NaN
"2021-2022",30734.36,26730.94,26705.00,26679.06,NaN
"2022-2023",35344.50,32271.06,28067.48,28040.24,NaN
"2023-2024",37111.72,37111.72,33884.60,29470.84,NaN
