academic_year,first_year,second_year,third_year,fourth_year,fifth_year
"2018-2019",22118.62,22013.30,21929.44,21907.82,NaN
"2019-2020",24330.48,23224.54,23113.96,23025.90,NaN
"2020-2021",26763.52,24385.76,24269.64,24177.18,NaN
"2021-2022",29439.86,25605.04,25483.12,25386.02,NaN
"2022-2023",32383.84,30911.84,26885.28,26757.26,NaN
"2023-2024",34003.02,34003.02,32457.42,28229.54,NaN
